,factor,ic_ir,residual_ic_ir
133,x_trend1_60min,0.04461156890581665,0.21199540525745217
134,x_spread_4h,,0.20603539437888443
135,x_spread_1h_1,,0.20582667761557544
136,x_ma5_60min,0.7301790474494165,0.20515712862703672
137,x_trend_break2_60min_1,0.0776678407073866,0.20509408842544105
138,x_rvi_60min,0.03324351369248515,0.20501666974769797
139,x_ultosc_60min_1,0.2236216011728878,0.20364057886310558
140,x_vol_price_corr_60min_1,0.10223937253528483,0.20267043956434533
141,x_klinger_240min_1,0.22597226214483845,0.20126773200371176
142,x_ma_ret_20h,,0.20089787522851987
143,x_p_ret_2h,0.1598478792553462,0.19827256521660547
144,x_price_delta_60min_1,0.1459083453225974,0.19765316329314433
145,x_snr_240min_1,0.23075500461691525,0.19716599220886047
146,x_ma_ret_20h_1,,0.19596871097992274
147,x_ultosc_240min_1,0.06407567468906046,0.19503013291301433
148,x_vol_mom_240min,0.23626508467152435,0.19466513532080043
149,x_spread_2h,,0.1933136679999557
150,x_chaikin_osc_60min_1,0.017648159420518415,0.19156099599508486
151,x_price_reversal_60min,0.018098987546838034,0.19032639944074312
152,x_vol_mom_240min_1,0.2276620973973353,0.1887871851854058
153,x_stoch_k_60min,0.350913287301372,0.1885467019487069
154,x_price_reversal_240min_1,0.10164245611663927,0.18788905303055406
155,x_vol_price_corr_60min,0.08403875309024875,0.1871108903298355
156,x_rsi14_60min_1,0.23944443813522764,0.1862615185287123
157,x_bvwap_slope_60min_1,0.5466978294508217,0.18538900436846034
158,x_stoch_d_60min,0.29836914696937544,0.18437933661141753
159,x_vol_weighted_return_240min_1,0.2381773880668446,0.1818872946994349
160,x_liquidity_240min,0.04151998045845114,0.181513586583382
161,x_snr_240min,0.22622162478460087,0.1811256143104325
162,x_sharpe_240min_1,0.20760905795930812,0.1811128482269941
163,x_sar_diff_240min,0.07776727640927311,0.18102492579821447
164,x_volume_profile_60min_1,0.27439475040814937,0.18096795669383625
165,x_stoch_d_60min_1,0.23714097514856824,0.17889240793976338
166,x_stoch_k_60min_1,0.291702370231455,0.17757894847874803
167,x_boll_upper_240min_1,1.0370109286479516,0.17712060211310124
168,x_vpin_60min,0.27949035715262033,0.17461213260709707
169,x_sar_diff_240min_1,0.10514494416828521,0.17356580061464613
170,x_p_ret_20h,0.0046405871956747375,0.17325592879150578
171,x_mom20_60min,0.0046405871956747375,0.17325321616996409
172,x_ma5_240min,0.7861951510347195,0.17184971195667886
173,x_ma_ret_6h_1,,0.17144288914178563
174,x_boll_upper_240min,1.0428317291175844,0.16962335987310312
175,x_intraday_return_60min_1,0.05472212693765524,0.1674375312312394
176,x_p_ret_1h_1,0.15106932133153878,0.16480172130813162
177,x_return_1_60min_1,0.15107431906699711,0.16478655157216823
178,x_log_return_1_60min_1,0.15107431906699711,0.16451778349949706
179,x_sell_vol_l2_1,0.3065628460512347,0.1631301771474265
180,x_rvi_240min_1,0.1916905013644541,0.161164262965159
181,x_spread_8h,,0.16079477234144052
182,x_gap_ratio_60min_1,0.14824838079006783,0.16003443495372502
183,x_overnight_return_60min_1,0.14824838079006783,0.16003443495372502
184,x_ad_60min_1,0.0073817869864272224,0.15998025028581622
185,x_overnight_vol_60min_1,0.14826221744418863,0.1598060037663192
186,x_break_position_60min_1,0.40662597414084534,0.15956239734106228
187,x_sharpe_240min,0.21357006136568135,0.15773811788850053
188,x_p_ret_20h_1,0.02156979002100624,0.15717929675767744
189,x_mom20_60min_1,0.02156979002100624,0.15715305136757338
190,x_vpin_60min_1,0.2649294019728939,0.1565940112501477
191,x_vol_change_rate_240min_1,0.13944469222571332,0.15453439061220614
192,x_spread_12h,,0.15299429535943454
193,x_skew_240min,0.17255629662392272,0.1513174231137229
194,x_donchian_pos_240min,0.14449557922852205,0.14740021690463675
195,x_ma5_240min_1,0.7957278809283563,0.1462897174235129
196,x_vol_accel_240min,0.14964746638104687,0.1452302333873607
197,x_market_depth_imbalance_240min_1,0.20053353722581246,0.14469504312938677
198,x_break_position_60min,0.4460246829019362,0.14448970877922238
199,x_kurtosis_60min,0.16602909570276775,0.14438318812566672
200,x_ma60_60min,0.9205856709164049,0.1435882138425158
201,x_ad_240min_1,0.1804898782502978,0.14276898833643775
202,x_price_accel_240min,0.2890756913686144,0.14246429376034028
203,x_intraday_vol_240min_1,0.011841191541932193,0.14245381550959382
204,x_donchian_pos_240min_1,0.11745436128139532,0.14224904380894227
205,x_vol_weighted_return_240min,0.2240571148199486,0.14218410528292685
206,x_buy_vol_l2_1,0.2685587422475358,0.1419939629139869
207,x_mom20_240min_1,0.19268044411029092,0.1415987555836812
208,x_bvwap_dev_60min,0.17153383190939833,0.14150125016989193
209,x_ma60_60min_1,0.9247952981374903,0.13952044746636602
210,x_return_1_240min,0.21309534390385268,0.1394439570769032
211,x_log_return_1_240min,0.21309534390385268,0.13938552294153686
212,x_close_pos_ratio_240min,0.1566505233056837,0.13730827495754414
213,x_ma_ret_2h_1,,0.13715117548182507
214,x_price_impact_60min,0.17708324005333473,0.13568561875654556
215,x_rsi14_240min_1,0.07294351514004213,0.1355808845394085
216,x_sell_vol_l2,0.25673117242432664,0.135378258703584
217,x_vol_ma_ratio_240min,0.0019261314031649448,0.13517642825157725
218,x_ma_ret_2h,,0.13438382045375505
219,x_skew_240min_1,0.1536310964031786,0.13388951449068234
220,x_ultosc_240min,0.03258699312834522,0.13370860694075484
221,x_rvi_60min_1,0.00694001520000557,0.13136747191717027
222,x_stoch_k_240min,0.11539630854515076,0.13098904754787447
223,x_rsi14_60min,0.254580699598752,0.13069937761637743
224,x_rvi_240min,0.17671692622099283,0.13007607393941414
225,x_trend_break2_60min,0.08109672436766284,0.13001963805818564
226,x_p_ret_4h,0.34790793257277786,0.12940318952646848
227,x_donchian_pos_60min_1,0.255435442500322,0.12893715406359169
228,x_price_ma250_dev_60min,0.07325331884345677,0.12849031717693293
229,x_ma20_240min,0.9398836777302175,0.12844509575457916
230,x_mom5_60min,0.39673412863009916,0.1282602363761207
231,x_vwap_slope_60min,0.426838982662408,0.1279858363500124
232,x_delta_l2_1,0.025043425242368845,0.12770792436090594
233,x_intraday_vol_60min,0.34114603456623666,0.12636134418124373
234,x_buy_vol_l2,0.23608784717140274,0.12450269818798636
235,x_delta_1,0.10653189394416003,0.1241360174959656
236,x_intraday_vol_60min_1,0.3438380214276263,0.12409610084431198
237,x_effort_vs_result_60min_1,0.10673566289736318,0.12360892407663573
238,x_ma20_240min_1,0.9469176645159846,0.12352436971076367
239,x_klinger_60min_1,0.04083703059293018,0.12350702625014978
240,x_rsi14_240min,0.09728573291017818,0.12172893170714273
241,x_turnover_y,0.338227157716569,0.12074361502083826
242,x_volume_y,0.1871455491631938,0.12019982168648911
243,x_vpin_zscore_240min_1,0.1192807983330611,0.12017929232844451
244,x_klinger_60min,0.0011008592521615332,0.11924598812919777
245,x_boll_upper_60min,0.8699183259196038,0.11778501679690807
246,x_price_accel_240min_1,0.2706169272750111,0.11612662274105279
247,x_ma_afternoon_ret,,0.11485453742245923
248,x_vol_change_rate_60min,0.20345344846352365,0.1144274358829929
249,x_mom20_240min,0.18774322007469568,0.11437279365557323
250,x_vol_mom_60min,0.07568902373473671,0.11396545750334816
251,x_adx_240min,0.0936208075876843,0.11292894055191652
252,x_donchian_pos_60min,0.27156102833327406,0.11208607580026676
253,x_boll_lower_240min,0.7812447547084784,0.10940851292745364
254,x_adx_240min_1,0.08976510957016696,0.1086566848019975
255,x_stoch_k_240min_1,0.06561250020668617,0.10806804872506667
256,x_market_depth_imbalance_60min,0.024140349232378417,0.10804559988112947
257,x_intraday_vol_240min,0.02098988946160685,0.10781919937024904
258,x_vol_ma_ratio_240min_1,0.010198037313083972,0.10635181198276675
259,x_realized_vol_240min_1,0.021412766381912723,0.10540253041942337
260,x_open_interest_y_1,0.03392896495950826,0.10513801415115362
261,x_macd_hist_60min,0.18790393348114737,0.10457743583664587
262,x_volatility_240min_1,0.023058121844266873,0.10457314560681495
263,x_market_depth_imbalance_60min_1,0.024993482588595812,0.10427123047432234
264,x_p_ret_6h,0.3422925410814134,0.10393460954685017
265,x_vol_accel_60min,0.07909586024136503,0.10377494998369233
266,x_ma_afternoon_ret_1,,0.10335177416819677
267,x_volatility_60min,0.2809880779023531,0.10321641379985029
268,x_ofi_60min,0.20140678698519346,0.10266146750244354
269,x_volume_y_1,0.15844838574172276,0.10262361700850366
270,x_price_ma250_dev_60min_1,0.05564433467586402,0.10210606858004259
271,x_spread_6h_1,,0.1008959408826932
272,x_delta_x_vpin_60min_1,0.1102542657521391,0.10048218697893345
273,x_log_return_1_60min,0.15014633671729677,0.09972874418429016
274,x_ma60_240min_1,0.9922173008929601,0.09887976205824271
275,x_p_ret_1h,0.15013161880231346,0.09880998185086255
276,x_realized_vol_60min,0.28191143434721966,0.09880033654394843
277,x_return_1_60min,0.15014633671729677,0.0987900668319872
278,x_vpin_zscore_240min,0.0997824306622807,0.09878811980215672
279,x_ma60_240min,0.9865407593828963,0.09775323384199282
280,x_return_1_240min_1,0.17867348239659409,0.0976460418838782
281,x_log_return_1_240min_1,0.17867348239659409,0.09712896043500462
282,x_bvwap_pv,0.14211418184302105,0.09638037424624733
283,x_trend_break_60min,0.03331124791407651,0.09531298027168932
284,x_boll_lower_240min_1,0.7869519708601794,0.09527469103962333
285,x_price_accel_60min_1,0.07499705757946779,0.0948252825391897
286,x_open_interest_y,0.025407260673907892,0.09290272578500029
287,x_bvwap_v,0.39256839707741786,0.09193559485087135
288,x_realized_vol_240min,0.04505669730715464,0.08977795646755898
289,x_boll_upper_60min_1,0.880270100268851,0.08912142419482724
290,x_adx_60min,0.1635823362254782,0.08898848259212776
291,x_open_interest_x_1,0.012562833750589827,0.08898555204856741
292,x_volatility_240min,0.04901218152330056,0.08868805378381117
293,x_chaikin_osc_240min_1,0.12437733353202515,0.08849727396296206
294,x_boll_pos_60min_1,0.2508399836219452,0.08804502083711008
295,x_vol_change_rate_60min_1,0.05541563540807521,0.08800368734280296
296,x_spread_20h_1,,0.08773108566797808
297,x_bvwap_dev_60min_1,0.14947703460709177,0.08769249775521791
298,x_stoch_d_240min,0.028920879452724656,0.0865830555607413
299,x_open_interest_x,0.011913392448740989,0.08619514129565324
300,x_bid_ask_proxy_60min_1,0.21980280457341436,0.0856681338214508
301,x_delta_l2,0.008132255845538455,0.08550955526697648
302,x_turnover_y_1,0.30809381489152365,0.0846780517332713
