factor,icir,residual_icir
x_mom5_240min_1,0.11339641046193144,0.1806905505334462
x_cci_240min,0.11758368993352908,0.18048364855794677
x_pvt_8slot_1,0.8063633274650532,0.1798736596842292
x_qstick_8slot,0.39045314611030923,0.17882840139649805
x_vol_ma_ratio_8slot,0.1397795864285796,0.17667411262047417
x_ad_line_8slot_1,0.694002091961248,0.1757424780095435
x_aroon_osc_240min,0.1810166376022326,0.17533032563365042
x_qstick_8slot_1,0.3258985245368895,0.17292763757349963
x_ad_line_8slot,0.7006091496370506,0.17224595130002654
x_price_impact_240min,0.23165039354773825,0.17165125629992414
x_vol_ma_ratio_240min,0.05676042703939466,0.17117786652724928
x_distribute_8slot_1,0.32072022343989964,0.17030243086393126
x_macd_hist_8slot_1,0.007629865421747444,0.16994791236272402
x_market_depth_imbalance_8slot,0.07749890999396605,0.16964225527504492
x_boll_pos_8slot_1,0.08110330277582099,0.16804410484413143
x_close_pos_ratio_8slot_1,0.16286350748326908,0.16701418230037932
x_vol_weighted_return_240min_1,0.13250889844307884,0.1653721123532914
x_snr_240min_1,0.18430464276178032,0.163893008667447
x_turnover_x,0.40833744305600495,0.1620087423585377
x_bvwap_v,0.7621054042587857,0.16181590130453868
x_aroon_osc_240min_1,0.18230205055376966,0.1612649049151943
x_vwap_pv,0.40853173384798297,0.16123627899347864
x_ad_8slot,0.028838670414362864,0.16103409720537407
x_atr_8slot,0.7030530083201212,0.16092296381992383
x_price_impact_8slot_1,0.09124305550713337,0.1603723245762186
x_aroon_osc_8slot,0.0026086004000297758,0.16007635076060428
x_pvt_8slot,0.7971719378370498,0.1593899737606187
x_ofi_8slot_1,0.2436109657438562,0.1581798347514803
x_market_depth_imbalance_8slot_1,0.0856993839614256,0.1576698557234475
x_bvwap_pv_1,0.4000093692772247,0.15605576784196773
x_boll_upper_8slot,0.8204706367814512,0.15541509337712017
x_ma_ret_6h,,0.15352527178025904
x_obv_8slot_1,0.6869311125247298,0.15306872087596157
x_vol_ma_ratio_8slot_1,0.056429677455854525,0.15294745106422397
x_sell_vol_l2_1,0.06155359083300948,0.15227586606395221
x_p_ret_12h,0.1249889717822933,0.15091601332274632
x_kurtosis_8slot,0.20531771492669565,0.14569170350426588
x_ease_of_movement_8slot_1,0.029929070967658605,0.14552016646686464
x_ma_afternoon_ret,,0.1454842030321031
x_vol_ratio_10_30_8slot_1,0.057098607984635265,0.14325453727066256
x_rsi14_8slot_1,0.1521426421680078,0.14109946960440775
x_boll_pos_240min_1,0.15471853244551903,0.1399038040789322
x_bvwap_v_1,0.6000154749460026,0.13315353490439819
x_gap_ratio_240min,0.25096307447384814,0.13022078086621927
x_overnight_return_240min,0.25096307447384814,0.13022078086621927
x_trend1_8slot_1,0.11945960762204352,0.1300819451510935
x_overnight_vol_240min,0.2507004817670897,0.13005456871815158
x_ease_of_movement_8slot,0.15015971310790086,0.12928000297409917
x_session_sin,0.007058549777728181,0.12508579884767296
x_keltner_pos_240min_1,0.12378529264517357,0.1247481137941933
